name,In Nepali,meaning
Prapti ,प्राप्ति,Gain
Prasana ,प्रसना,Rising
Prashika ,प्रशिका ,Full of love
Pratikshya ,प्रतिक्ष्या,Wait; Time; Awaiting
Pratima ,प्रतिमा,Icon; Idol; Statue
Prativa ,"प्रतिवा, प्रतिभा",Talent
Preeti ,प्रिती,"Love, Pretty, Lovely(राम्री"
Prekshya ,प्रेक्ष्या,"Looking at, Observing"
Premila ,प्रेमीला,Queen of a women's kingdom
Prencika ,प्रेंचिका,no meaning yet
Prerana ,प्रेरणा,Encouragement; to encourage
Presbira ,प्रेस्बिरा,no meaning yet
Preshika ,प्रेस्हिका ,Messanger
Presna ,प्रेसना,Please advise us the meaning of Presna.
Prinju ,प्रिन्जु,Gift of lord
Priti ,प्रिती,Love; Beauty; Pretty (राम्री
Pritika ,प्रितिका,A dear one
Priya ,प्रिया,"Loved one, darling"
Priyadarshini ,प्रियादर्शिनी,Delightful to look at(सुन्दरी
Priyal ,प्रियाल,Please advise us a meaning of this name.
Priyanka ,प्रियंका,"Beautiful or lovable act, symbol or body"
Puja ,"पुञ्ज, पुजा",Same as Pooja; To Worship
"Punam, Poonam ",पूनम,Full moon(पुर्णिमा
Purnima ,पुर्णिमा,Full moon
Pushpa ,पुष्पा,"In Sanskrit, Pushpa means ""flower"""
Pushpanjali ,पुष्पान्जली,Flower offering
Pushpita ,पुष्पिता,Decorated with flowers
Puspa ,"पुस्पा, पुष्प",Flower(फुल 

India ,इंडिया,Please advise us the meaning of the name.(कृपयायो नामको अर्थ हलिदिनुहोला ! 
Indira Goddess Lakshmi,लक्ष्मीको Nickname,
Indu Moon,चन्द्रमुखी,
Inna ,इन्ना ,Please advise us the meaning of this name!
"Ishani Parvati, wife of Lord Shiva",शिवजीको श्रीमतीको फेरि अर्को Nickname,
Ishreya ,इश्रेया,Blessings of god
Tanishka ,तनिश्का,Please advise us the meaning of the name.(कृपयायो नामको अर्थ हलिदिनुहोला !
